frame,time_sec,p_now_ch1,p_now_ch2,p_future_ch1,p_future_ch2,vad_ch1,vad_ch2
105,5.250000,0.821082234,0.178881854,0.767788112,0.232198760,0.214565635,0.197027028
106,5.300000,0.812478542,0.187483966,0.764509857,0.235477120,0.202492625,0.197525233
107,5.350000,0.801152408,0.198808357,0.753411233,0.246575415,0.207341760,0.203123838
108,5.400000,0.772091985,0.227865934,0.731712818,0.268273205,0.195260257,0.219696522
109,5.450000,0.768939912,0.231018841,0.726710677,0.273275524,0.180871338,0.215417653
110,5.500000,0.767281651,0.232675135,0.735352278,0.264633626,0.173881024,0.229986846
111,5.550000,0.755634546,0.244322628,0.724705160,0.275280625,0.184510112,0.214771420
112,5.600000,0.761477351,0.238478616,0.737203717,0.262782037,0.171825558,0.213515967
113,5.650000,0.761666119,0.238292575,0.731965661,0.268020421,0.180721164,0.208999932
114,5.700000,0.752533674,0.247423574,0.720723629,0.279262215,0.180849135,0.207675725
115,5.750000,0.763057590,0.236898586,0.734731019,0.265254915,0.184846908,0.215061814
116,5.800000,0.754764020,0.245190993,0.722989440,0.276996225,0.185012579,0.212399185
117,5.850000,0.780772090,0.219184190,0.744908273,0.255077541,0.189344198,0.204079121
118,5.900000,0.775573015,0.224384010,0.738293052,0.261692554,0.194715261,0.208461553
119,5.950000,0.779658258,0.220297500,0.738707423,0.261278123,0.189902276,0.190891057
120,6.000000,0.768774271,0.231179312,0.733890116,0.266094953,0.171126008,0.208640337
121,6.050000,0.767387092,0.232569665,0.724807143,0.275178224,0.183484614,0.236940086
122,6.100000,0.747675896,0.252276599,0.721465528,0.278519422,0.179539025,0.223245382
123,6.150000,0.725022078,0.274931312,0.707327604,0.292657167,0.169303089,0.234249771
124,6.200000,0.754183948,0.245769411,0.718832552,0.281152487,0.176472098,0.207710952
125,6.250000,0.746836424,0.253114820,0.715660036,0.284324706,0.170081407,0.211431861
126,6.300000,0.738713324,0.261237383,0.708860695,0.291123867,0.171990693,0.208932161
127,6.350000,0.755201399,0.244749784,0.719832242,0.280151933,0.201760799,0.224421322
128,6.400000,0.752927244,0.247024581,0.724453866,0.275530577,0.207612067,0.230947495
129,6.450000,0.741765916,0.258184731,0.720541775,0.279442668,0.184955657,0.212855726
130,6.500000,0.746729970,0.253218859,0.716444016,0.283540070,0.178974211,0.210213035
131,6.550000,0.751474142,0.248473033,0.715339720,0.284643739,0.175323009,0.220373094
132,6.600000,0.744455040,0.255492091,0.715636909,0.284346461,0.167488009,0.250546008
133,6.650000,0.967525125,0.032466017,0.874919832,0.125070304,0.324048519,0.216937751
134,6.700000,0.981192410,0.018801400,0.886968195,0.113023445,0.654985368,0.220838308
135,6.750000,0.983793020,0.016201118,0.863125086,0.136865839,0.811793804,0.218719721
136,6.800000,0.987205446,0.012788877,0.830200493,0.169791043,0.804154754,0.221266866
137,6.850000,0.988473654,0.011520722,0.823210597,0.176781416,0.726512134,0.216821522
138,6.900000,0.986325324,0.013668993,0.811882198,0.188109964,0.646477938,0.231599003
139,6.950000,0.986901343,0.013092791,0.804485321,0.195506752,0.550630033,0.225213468
140,7.000000,0.986787438,0.013206434,0.800236523,0.199755549,0.422814876,0.231397957
141,7.050000,0.987083256,0.012910227,0.822045505,0.177946657,0.359062374,0.240985185
142,7.100000,0.987031996,0.012960833,0.844845533,0.155146524,0.307942212,0.208985239
143,7.150000,0.984028339,0.015963640,0.855783463,0.144208461,0.250632316,0.189487517
144,7.200000,0.987848938,0.012144328,0.843574882,0.156417057,0.282114863,0.186109573
145,7.250000,0.980247259,0.019743292,0.865084350,0.134907171,0.266269326,0.206624478
146,7.300000,0.988468885,0.011524571,0.869984806,0.130007312,0.276512623,0.197652578
147,7.350000,0.989289045,0.010704795,0.873609066,0.126383096,0.505220652,0.219199300
148,7.400000,0.985421181,0.014572853,0.849822819,0.150169164,0.805614471,0.231416076
149,7.450000,0.989812851,0.010181482,0.855621397,0.144370824,0.794934392,0.212729067
150,7.500000,0.988918483,0.011075424,0.849988163,0.150003746,0.782008827,0.207425326
151,7.550000,0.979881465,0.020111492,0.826326728,0.173664927,0.722221375,0.214490920
152,7.600000,0.974535048,0.025457216,0.846123993,0.153867841,0.705870748,0.199062914
153,7.650000,0.972895801,0.027096532,0.861434996,0.138557181,0.697691619,0.193861961
154,7.700000,0.983390927,0.016603047,0.886585891,0.113406569,0.734515131,0.174722254
155,7.750000,0.983795047,0.016199011,0.884947717,0.115044661,0.695689678,0.192696035
156,7.800000,0.985905886,0.014088384,0.894118071,0.105874427,0.720696211,0.205173463
157,7.850000,0.985411584,0.014582817,0.893234253,0.106758282,0.728501499,0.222178847
158,7.900000,0.981766880,0.018227387,0.887617469,0.112375051,0.731107533,0.236178517
159,7.950000,0.978323638,0.021670265,0.891762137,0.108230487,0.745911062,0.218903124
160,8.000000,0.970108211,0.029885417,0.893911779,0.106080763,0.733157873,0.212188005
161,8.050000,0.957218468,0.042774439,0.895182073,0.104810514,0.723787963,0.213127255
162,8.100000,0.947364032,0.052628379,0.888697147,0.111295365,0.736308873,0.231456667
163,8.150000,0.931925952,0.068066217,0.877241015,0.122751527,0.728291571,0.212535053
164,8.200000,0.926005602,0.073986605,0.881555915,0.118436612,0.726821303,0.232909650
165,8.250000,0.921508908,0.078483112,0.880170107,0.119822450,0.717084706,0.213851780
166,8.300000,0.923343956,0.076648310,0.883714616,0.116277903,0.693664193,0.228693396
167,8.350000,0.928595722,0.071396746,0.884372115,0.115620323,0.689431548,0.220097691
168,8.400000,0.927080214,0.072912149,0.885860682,0.114131458,0.664923549,0.223774135
169,8.450000,0.924130142,0.075861149,0.893417597,0.106574640,0.634770036,0.232306838
170,8.500000,0.849776924,0.150205627,0.895509601,0.104482815,0.636229277,0.216312975
171,8.550000,0.817344129,0.182637677,0.886213660,0.113778874,0.563482583,0.220780373
172,8.600000,0.801464200,0.198515460,0.890256524,0.109735861,0.434649289,0.223508984
173,8.650000,0.859423399,0.140564293,0.885269880,0.114722766,0.470599145,0.207368165
174,8.700000,0.826464951,0.173516780,0.901727676,0.098264545,0.368729949,0.221297413
175,8.750000,0.808088005,0.191892326,0.900799394,0.099192731,0.327838570,0.213004410
176,8.800000,0.794951618,0.205028251,0.904482067,0.095509917,0.312226474,0.218711704
177,8.850000,0.808697820,0.191281796,0.913685203,0.086306885,0.294594705,0.216319561
178,8.900000,0.805397093,0.194583043,0.909548044,0.090443939,0.288822800,0.216907024
179,8.950000,0.808187008,0.191793114,0.908732474,0.091259576,0.265903592,0.198365539
180,9.000000,0.806934655,0.193045408,0.911358476,0.088633515,0.262919247,0.198696285
181,9.050000,0.832872152,0.167107821,0.918448567,0.081543438,0.250472605,0.202540517
182,9.100000,0.848288655,0.151691943,0.922296703,0.077695332,0.220050782,0.197880030
183,9.150000,0.846682012,0.153298065,0.921438694,0.078553282,0.165799916,0.191682488
184,9.200000,0.843738794,0.156240791,0.917879343,0.082112521,0.167417586,0.191689491
185,9.250000,0.855646551,0.144332871,0.921785176,0.078206770,0.180187345,0.179636002
186,9.300000,0.856997430,0.142981827,0.924588084,0.075403817,0.177021086,0.188439816
187,9.350000,0.873054087,0.126925588,0.926242054,0.073749855,0.189930528,0.199526012
188,9.400000,0.872025251,0.127953410,0.926696181,0.073295660,0.178792655,0.189700663
189,9.450000,0.879954457,0.120024450,0.928185165,0.071806706,0.176897675,0.189870685
190,9.500000,0.889126778,0.110852391,0.930575013,0.069416746,0.183036625,0.188932478
191,9.550000,0.959979653,0.040011872,0.938257873,0.061734371,0.248368084,0.191927224
192,9.600000,0.973883390,0.026109669,0.941749871,0.058242630,0.363779902,0.202301562
193,9.650000,0.973123670,0.026868394,0.945387840,0.054604270,0.339492261,0.175754040
194,9.700000,0.965539753,0.034448754,0.946856022,0.053135678,0.368001401,0.183429390
195,9.750000,0.955929995,0.044055555,0.948207021,0.051784582,0.342590868,0.198000848
196,9.800000,0.953478098,0.046506315,0.948877990,0.051113687,0.290813208,0.194685012
197,9.850000,0.947455585,0.052527908,0.944774091,0.055217672,0.214276224,0.202916056
198,9.900000,0.947712302,0.052270725,0.946622014,0.053369783,0.171577513,0.195273131
199,9.950000,0.976867735,0.023124054,0.946902752,0.053089496,0.245486677,0.191713125
200,10.000000,0.974311411,0.025678985,0.947096348,0.052895676,0.247348785,0.199012995
201,10.050000,0.961504042,0.038482260,0.947862566,0.052129298,0.222138226,0.201071411
202,10.100000,0.960570395,0.039415672,0.947972357,0.052019086,0.232614517,0.221660018
203,10.150000,0.956192911,0.043790944,0.947767556,0.052223876,0.244498402,0.202789336
204,10.200000,0.960832953,0.039150305,0.952099144,0.047892153,0.314302593,0.198003411
205,10.250000,0.961222649,0.038760949,0.954442441,0.045549262,0.290706098,0.204264581
206,10.300000,0.959534883,0.040447861,0.952624917,0.047366805,0.265809029,0.195020378
207,10.350000,0.954662323,0.045319285,0.946388900,0.053602755,0.252551615,0.196599036
208,10.400000,0.946481347,0.053499527,0.941314220,0.058677319,0.245411634,0.222776890
209,10.450000,0.945278764,0.054701183,0.938710213,0.061281241,0.217992634,0.211297184
210,10.500000,0.949514151,0.050468750,0.933794618,0.066196620,0.261945009,0.205394208
211,10.550000,0.989227414,0.010767133,0.959419191,0.040573951,0.652844429,0.220021814
212,10.600000,0.990771949,0.009222779,0.956388175,0.043605320,0.759365320,0.209818125
213,10.650000,0.991070986,0.008923851,0.949458897,0.050534800,0.829147100,0.209858388
214,10.700000,0.992606759,0.007388101,0.948669672,0.051324148,0.807551384,0.200971633
215,10.750000,0.993445098,0.006549754,0.942755997,0.057237685,0.726354301,0.205808967
216,10.800000,0.994084716,0.005910221,0.938708425,0.061285261,0.675424278,0.203449786
217,10.850000,0.995568335,0.004426569,0.942514956,0.057478715,0.596972108,0.211897075
