frame,time_sec,p_now_ch1,p_now_ch2,p_future_ch1,p_future_ch2,vad_ch1,vad_ch2
116,5.800000,0.664458096,0.335483283,0.594876945,0.405103415,0.087907821,0.137486994
117,5.850000,0.664999545,0.334942251,0.590294123,0.409686118,0.105939895,0.132029593
118,5.900000,0.701554656,0.298392683,0.604258180,0.395722359,0.119912624,0.145822793
119,5.950000,0.669429302,0.330513209,0.591494799,0.408485532,0.109819829,0.132428676
120,6.000000,0.673999250,0.325943232,0.596979976,0.403000295,0.088043422,0.151047349
121,6.050000,0.696041882,0.303903341,0.604738891,0.395241290,0.102663636,0.172884792
122,6.100000,0.671606243,0.328334272,0.601667702,0.398312032,0.085892379,0.149830490
123,6.150000,0.662877262,0.337062538,0.590528786,0.409450471,0.092237324,0.182355970
124,6.200000,0.678580940,0.321358562,0.603103638,0.396875799,0.093539596,0.138733685
125,6.250000,0.669609129,0.330327809,0.599485993,0.400493234,0.079492062,0.151204139
126,6.300000,0.666924417,0.333010852,0.592075825,0.407902747,0.085832745,0.164668113
127,6.350000,0.686161280,0.313778430,0.601154208,0.398824841,0.102427542,0.157599986
128,6.400000,0.662280023,0.337658107,0.591281772,0.408696830,0.111112714,0.172536641
129,6.450000,0.666046917,0.333888859,0.598207057,0.401770979,0.083992630,0.154314250
130,6.500000,0.670457840,0.329477042,0.594323993,0.405654311,0.087665021,0.151284873
131,6.550000,0.674382567,0.325551748,0.591881871,0.408095956,0.097330332,0.142858952
132,6.600000,0.653842926,0.346091360,0.587700665,0.412277281,0.084917277,0.185566992
133,6.650000,0.948410034,0.051577929,0.807580650,0.192406341,0.245527685,0.160238147
134,6.700000,0.973721027,0.026272140,0.875510871,0.124479197,0.647183418,0.160012066
135,6.750000,0.979535937,0.020457407,0.873723745,0.126265749,0.808829665,0.142813563
136,6.800000,0.984360933,0.015632944,0.871694028,0.128295824,0.861994863,0.145499349
137,6.850000,0.984280467,0.015713442,0.881553292,0.118437067,0.800648451,0.173530519
138,6.900000,0.984009683,0.015984122,0.890003502,0.109987371,0.655551732,0.176488310
139,6.950000,0.985309124,0.014684349,0.885002017,0.114988320,0.474755645,0.154912263
140,7.000000,0.984949470,0.015043374,0.883798420,0.116191439,0.351675570,0.151066214
141,7.050000,0.983352244,0.016639635,0.886246860,0.113742433,0.317299485,0.155521929
142,7.100000,0.981639802,0.018350672,0.894288957,0.105699867,0.232915759,0.150682300
143,7.150000,0.977511525,0.022477074,0.896623969,0.103364393,0.167156726,0.128731191
144,7.200000,0.981519282,0.018471338,0.876351237,0.123636700,0.247821599,0.127911210
