frame,time_sec,p_now_ch1,p_now_ch2,p_future_ch1,p_future_ch2,vad_ch1,vad_ch2
74,3.700000,0.731765330,0.268201798,0.631756186,0.368230045,0.089393526,0.149962872
75,3.750000,0.734861314,0.265105307,0.633504331,0.366481483,0.087111235,0.143512428
76,3.800000,0.722214937,0.277749777,0.626855016,0.373130560,0.083175063,0.142013997
77,3.850000,0.709238350,0.290725410,0.613725066,0.386260509,0.084397197,0.147521168
78,3.900000,0.692643940,0.307320505,0.607521355,0.392464221,0.097905129,0.172877520
79,3.950000,0.700701058,0.299261540,0.611940205,0.388045132,0.081090033,0.153836131
80,4.000000,0.710024655,0.289938927,0.617038965,0.382946461,0.094708890,0.158897996
81,4.050000,0.707076967,0.292885005,0.617046058,0.382939160,0.076669693,0.157889903
82,4.100000,0.713332474,0.286630720,0.613757491,0.386227667,0.087831467,0.145321459
83,4.150000,0.741598189,0.258368969,0.628900707,0.371084780,0.094715476,0.158718884
84,4.200000,0.737098157,0.262867540,0.628033161,0.371952266,0.095650256,0.139328718
85,4.250000,0.724747181,0.275214523,0.617754877,0.382229894,0.083559453,0.141086847
86,4.300000,0.721673965,0.278285712,0.613284826,0.386699349,0.080274731,0.148827106
87,4.350000,0.713448107,0.286510885,0.611360788,0.388623029,0.082093805,0.171500653
88,4.400000,0.709986508,0.289973080,0.605081081,0.394902974,0.094058663,0.145349532
89,4.450000,0.708319843,0.291639000,0.604803681,0.395180494,0.092150807,0.145245284
90,4.500000,0.692839861,0.307116747,0.600264430,0.399719149,0.076195419,0.156969965
91,4.550000,0.700783551,0.299173832,0.600179136,0.399804562,0.086330503,0.145931482
92,4.600000,0.695363581,0.304591030,0.596964300,0.403018892,0.077978373,0.139824718
93,4.650000,0.670710802,0.329244763,0.576628864,0.423354506,0.088374585,0.141539484
94,4.700000,0.661656678,0.338298112,0.571165979,0.428817689,0.085838079,0.138218164
95,4.750000,0.676304162,0.323649436,0.577771187,0.422212124,0.085690767,0.139928311
96,4.800000,0.692052603,0.307901651,0.589161515,0.410821617,0.084995866,0.142807305
97,4.850000,0.682567656,0.317386031,0.580478787,0.419504374,0.089627773,0.138821930
98,4.900000,0.681875408,0.318079621,0.580614924,0.419367731,0.110167384,0.176528662
99,4.950000,0.688539088,0.311414510,0.576871336,0.423111349,0.094289958,0.138798386
100,5.000000,0.689244747,0.310707688,0.585097253,0.414885312,0.095793992,0.120619267
101,5.050000,0.690761924,0.309190243,0.586646378,0.413336158,0.087072760,0.133326381
102,5.100000,0.705274343,0.294678986,0.596276700,0.403705835,0.096922815,0.132212937
103,5.150000,0.700650573,0.299303770,0.593394637,0.406587511,0.111502022,0.145894617
104,5.200000,0.701306105,0.298647732,0.599385917,0.400597006,0.089650631,0.139396548
105,5.250000,0.709043205,0.290909469,0.598095119,0.401887208,0.097322077,0.133955568
106,5.300000,0.691561520,0.308387876,0.590197146,0.409784853,0.102300018,0.139677972
107,5.350000,0.675448239,0.324498624,0.581406832,0.418574840,0.102144569,0.147626400
108,5.400000,0.635856271,0.364088744,0.564072251,0.435908824,0.096511424,0.168203503
109,5.450000,0.660903573,0.339043468,0.580870211,0.419111371,0.094856232,0.153533787
110,5.500000,0.656618595,0.343326420,0.579146445,0.420834959,0.087149948,0.159178257
111,5.550000,0.669750452,0.330194861,0.584429026,0.415551990,0.096629113,0.147664368
112,5.600000,0.664707303,0.335237384,0.591777623,0.408203542,0.079538703,0.151974946
113,5.650000,0.666374207,0.333571613,0.588520706,0.411460340,0.092921346,0.155425310
114,5.700000,0.668182731,0.331761509,0.591490448,0.408490509,0.090061188,0.146671563
115,5.750000,0.662725270,0.337216973,0.595632076,0.404348701,0.085687280,0.149878025
116,5.800000,0.664457142,0.335484236,0.594876289,0.405104131,0.087908268,0.137487918
117,5.850000,0.664997816,0.334943950,0.590293169,0.409687042,0.105940372,0.132029593
118,5.900000,0.701553166,0.298394173,0.604257405,0.395723224,0.119912356,0.145822138
119,5.950000,0.669428229,0.330514193,0.591494262,0.408486128,0.109819233,0.132428825
120,6.000000,0.673998117,0.325944453,0.596979260,0.403001040,0.088043332,0.151047230
121,6.050000,0.696040988,0.303904295,0.604738235,0.395241857,0.102664769,0.172885746
122,6.100000,0.671604931,0.328335613,0.601666927,0.398312837,0.085892618,0.149831265
123,6.150000,0.662876666,0.337063193,0.590528131,0.409451127,0.092237651,0.182357192
124,6.200000,0.678580403,0.321359128,0.603103220,0.396876276,0.093539685,0.138734251
125,6.250000,0.669608831,0.330328137,0.599485815,0.400493413,0.079492688,0.151203901
126,6.300000,0.666923940,0.333011270,0.592075408,0.407903165,0.085832238,0.164668381
127,6.350000,0.686163008,0.313776702,0.601155043,0.398824096,0.102428615,0.157599717
128,6.400000,0.662280381,0.337657809,0.591281772,0.408696860,0.111113399,0.172537178
129,6.450000,0.666048110,0.333887696,0.598207355,0.401770622,0.083993852,0.154314339
130,6.500000,0.670457840,0.329477072,0.594324231,0.405654043,0.087665498,0.151284575
131,6.550000,0.674382806,0.325551510,0.591881871,0.408095926,0.097330451,0.142859280
132,6.600000,0.653843105,0.346091241,0.587700486,0.412277460,0.084917277,0.185566872
133,6.650000,0.948409855,0.051578138,0.807579875,0.192407101,0.245526701,0.160239249
134,6.700000,0.973721027,0.026272139,0.875510871,0.124479137,0.647183239,0.160012066
135,6.750000,0.979535937,0.020457430,0.873723686,0.126265794,0.808829784,0.142813683
136,6.800000,0.984360993,0.015632940,0.871694028,0.128295869,0.861994505,0.145500541
137,6.850000,0.984280467,0.015713466,0.881553292,0.118437089,0.800648332,0.173531562
138,6.900000,0.984009564,0.015984219,0.890003204,0.109987646,0.655552268,0.176487923
139,6.950000,0.985309124,0.014684357,0.885001898,0.114988551,0.474756092,0.154911160
140,7.000000,0.984949470,0.015043398,0.883798242,0.116191678,0.351675868,0.151066065
141,7.050000,0.983352244,0.016639637,0.886246622,0.113742754,0.317300379,0.155521125
142,7.100000,0.981639802,0.018350670,0.894288778,0.105700046,0.232916564,0.150681615
143,7.150000,0.977511525,0.022477075,0.896623671,0.103364713,0.167157441,0.128729910
144,7.200000,0.981519282,0.018471351,0.876351058,0.123636842,0.247820914,0.127910197
145,7.250000,0.973063111,0.026923500,0.884992719,0.114994347,0.162429452,0.136933059
146,7.300000,0.981790125,0.018200953,0.882000029,0.117988408,0.181793153,0.144610196
147,7.350000,0.983592212,0.016400676,0.893273592,0.106716640,0.519977510,0.160478830
148,7.400000,0.978425324,0.021568481,0.882843554,0.117147073,0.895522952,0.194582969
